Date,ABEV3.SA,ASAI3.SA,AZUL4.SA,B3SA3.SA,BBSE3.SA,BBDC4.SA,BBDC3.SA,BRAP4.SA,BBAS3.SA,BRKM5.SA,BRFS3.SA,CRFB3.SA,CCRO3.SA,COGN3.SA,CPLE6.SA,CSAN3.SA,CPFE3.SA,CVCB3.SA,CYRE3.SA,ECOR3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENBR3.SA,ENGI11.SA,ENEV3.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,GOLL4.SA,NTCO3.SA,HAPV3.SA,HYPE3.SA,IRBR3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,JHSF3.SA,KLBN11.SA,RENT3.SA,LCAM3.SA,LREN3.SA,MGLU3.SA,MRFG3.SA,BEEF3.SA,MRVE3.SA,MULT3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,QUAL3.SA,RADL3.SA,RAIL3.SA,SBSP3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,WEGE3.SA,YDUQ3.SA
2017-01-02,13.968292236328125,,,3.803877115249634,18.234649658203125,11.160981178283691,11.90626335144043,7.302765369415283,21.15617561340332,25.395219802856445,47.900001525878906,,13.21345043182373,12.361406326293945,1.7040358781814575,6.4578633308410645,18.940847396850586,22.370296478271484,7.783177852630615,7.245918273925781,18.25225257873535,19.135229110717773,15.616085052490234,10.35787296295166,18.4740047454834,2.9700000286102295,9.95920181274414,10.295304298400879,14.63952350616455,9.058725357055664,3.6093575954437256,4.510000228881836,,,21.6378116607666,,5.224896430969238,18.114444732666016,9.726716995239258,1.217584490776062,14.385416030883789,10.042459487915039,1.755828619003296,17.65187644958496,0.3792029619216919,5.329765796661377,9.96017837524414,7.438618183135986,17.840198516845703,42.90829849243164,12.650330543518066,11.054065704345703,0.4659999907016754,14.848257064819336,11.654522895812988,6.110000133514404,24.81352996826172,7.483278274536133,29.983890533447266,3.65423846244812,18.692445755004883,5.076361656188965,13.44559097290039
2017-01-03,14.2509126663208,,,3.9604251384735107,18.883546829223633,11.634458541870117,12.389514923095703,7.609985828399658,22.124113082885742,26.844240188598633,49.5,,13.715545654296875,12.974828720092773,1.8312119245529175,6.7585930824279785,18.985836029052734,23.04081916809082,8.441869735717773,7.575277328491211,18.122459411621094,19.040027618408203,15.967447280883789,10.396522521972656,18.942584991455078,2.9725000858306885,9.939191818237305,10.912373542785645,14.56358528137207,9.317784309387207,3.7311923503875732,4.880000114440918,,,22.24138832092285,,5.454001426696777,18.88160514831543,9.855831146240234,1.2683172225952148,14.747157096862793,10.464967727661133,1.7880734205245972,18.1934814453125,0.3780471980571747,5.379732131958008,10.20290470123291,7.6069111824035645,18.439889907836914,41.986419677734375,13.45389175415039,11.687448501586914,0.5278000235557556,15.495206832885742,12.100480079650879,6.179999828338623,25.102161407470703,7.867117404937744,30.46963882446289,3.8423244953155518,19.520404815673828,5.331860542297363,14.194019317626953
2017-01-04,14.139578819274902,,,4.035194396972656,19.480005264282227,11.560771942138672,12.385376930236816,7.443784713745117,22.008882522583008,26.38862419128418,48.90999984741211,,13.807597160339355,12.900473594665527,1.8130441904067993,6.762070178985596,18.940847396850586,23.769651412963867,8.752290725708008,7.637588977813721,18.32526397705078,18.886241912841797,15.78200626373291,10.458361625671387,19.520832061767578,2.9549999237060547,9.97739315032959,11.334578514099121,14.888436317443848,9.209150314331055,3.7692673206329346,5.170000076293945,,,22.373682022094727,,5.48582124710083,18.96263313293457,9.855831146240234,1.3190498352050781,14.200339317321777,10.631671905517578,1.802729606628418,18.03328514099121,0.35791510343551636,5.496320724487305,9.976917266845703,7.6069111824035645,18.72015380859375,41.986419677734375,13.293180465698242,11.687448501586914,0.5252000093460083,15.6293306350708,11.929400444030762,6.179999828338623,25.82811164855957,7.8195343017578125,29.983890533447266,4.075192928314209,19.169830322265625,5.204110622406006,14.124398231506348
2017-01-05,14.216655731201172,,,3.9861268997192383,19.086734771728516,11.688749313354492,12.455656051635742,7.8164777755737305,21.95510482788086,26.702327728271484,48.529998779296875,,13.782491683959961,12.733177185058594,1.7879846096038818,6.74990177154541,18.903350830078125,24.488771438598633,8.63872241973877,7.566375732421875,18.25225257873535,18.915536880493164,16.104087829589844,10.43517017364502,20.428081512451172,3.0,9.95920181274414,11.59439754486084,15.18797779083252,9.860977172851562,3.952019214630127,5.230000019073486,,,22.357145309448242,,5.536733150482178,19.22195053100586,9.830009460449219,1.40360426902771,14.074149131774902,10.470715522766113,1.8466988801956177,17.865467071533203,0.37021785974502563,5.479665279388428,9.876479148864746,7.640570163726807,18.798505783081055,41.986419677734375,13.591644287109375,11.875955581665039,0.5400000214576721,15.53465461730957,11.750633239746094,6.190000057220459,25.898080825805664,7.860774993896484,30.1605224609375,4.119974613189697,19.90081787109375,5.190663814544678,13.8981294631958
2017-01-06,14.096755981445312,,,3.983790397644043,18.79178237915039,11.762436866760254,12.550737380981445,7.68049430847168,22.19325065612793,26.17948341369629,46.220001220703125,,13.581652641296387,12.64023208618164,1.8142971992492676,6.593452453613281,18.918352127075195,24.28469467163086,8.585723876953125,7.432852268218994,18.22791862487793,18.864273071289062,16.18216896057129,10.164628982543945,19.879743576049805,3.0924999713897705,9.913725852966309,11.269624710083008,15.18797779083252,9.802474975585938,3.952019214630127,5.150000095367432,,,22.183513641357422,,5.517642021179199,19.286779403686523,9.898871421813965,1.4120596647262573,14.006854057312012,10.46784496307373,1.8437669277191162,17.659500122070312,0.3678317368030548,5.271471977233887,9.83462905883789,7.647303104400635,18.680978775024414,41.986419677734375,13.385013580322266,11.808093070983887,0.5090000033378601,15.376861572265625,11.775620460510254,6.349999904632568,25.521987915039062,7.616511344909668,30.028051376342773,4.0035400390625,19.3712215423584,5.234367370605469,13.793696403503418
2017-01-09,14.156708717346191,,,3.983790397644043,19.217824935913086,11.777946472167969,12.608614921569824,7.8668413162231445,21.35590934753418,26.269113540649414,45.70000076293945,,13.72391414642334,12.556585311889648,1.794875979423523,6.69427490234375,18.918352127075195,24.488771438598633,8.89614200592041,7.566375732421875,17.91154670715332,18.49079704284668,16.221208572387695,10.195549011230469,19.83986473083496,2.9774999618530273,9.850059509277344,11.691827774047852,15.128915786743164,9.810832023620605,3.9824771881103516,5.230000019073486,,,22.13390350341797,,5.574917793273926,19.37862777709961,9.98494815826416,1.40360426902771,13.712413787841797,10.591432571411133,1.8466988801956177,17.506935119628906,0.35109180212020874,5.046622276306152,9.6756010055542,7.714620113372803,18.768367767333984,41.986419677734375,13.254913330078125,11.559264183044434,0.5320000052452087,15.550435066223145,11.756401062011719,6.449999809265137,25.635690689086914,7.648233413696289,29.917648315429688,4.030409336090088,19.766555786132812,5.177215576171875,13.724076271057129
2017-01-10,13.993986129760742,,,4.058559894561768,19.375133514404297,11.777946472167969,12.608614921569824,8.299970626831055,21.647823333740234,26.50813102722168,45.91999816894531,,13.749017715454102,12.445054054260254,1.7980084419250488,6.532610893249512,18.92584991455078,24.391590118408203,8.76743221282959,7.495163440704346,17.83042335510254,18.300395965576172,16.055286407470703,10.280577659606934,19.64046859741211,2.9600000381469727,9.731821060180664,11.509956359863281,15.107819557189941,10.011397361755371,4.028165817260742,5.21999979019165,,,21.98508071899414,,5.536733150482178,19.31379508972168,10.372296333312988,1.4205151796340942,13.804952621459961,10.505205154418945,1.7616918087005615,17.468793869018555,0.35944321751594543,5.129899501800537,9.96017837524414,7.7684760093688965,18.355514526367188,41.986419677734375,13.476849555969238,11.672370910644531,0.5019999742507935,15.16384220123291,11.541110038757324,6.559999942779541,25.58321189880371,7.657751560211182,29.992717742919922,4.048322677612305,21.2882080078125,5.120065689086914,13.697966575622559
2017-01-11,14.053934097290039,,,4.077252388000488,18.817996978759766,11.867142677307129,12.484591484069824,8.58704662322998,21.878284454345703,26.777019500732422,45.86000061035156,,13.263660430908203,12.24987506866455,1.8813308477401733,6.598666667938232,18.933349609375,24.5373592376709,8.85828685760498,7.423949718475342,17.465381622314453,18.080703735351562,16.348087310791016,10.218737602233887,19.24167823791504,2.997499942779541,9.680889129638672,11.821737289428711,15.171100616455078,10.52951431274414,4.2261481285095215,5.320000171661377,,,21.77837371826172,,5.574917793273926,19.351613998413086,10.312039375305176,1.3866934776306152,13.670351028442383,10.459219932556152,1.802729606628418,17.47641944885254,0.3635071814060211,5.104916095733643,9.909957885742188,7.748281478881836,18.3585262298584,41.986419677734375,13.813578605651855,11.808093070983887,0.5055999755859375,15.668779373168945,11.716033935546875,6.590000152587891,25.73189926147461,7.626028060913086,29.895572662353516,3.9677140712738037,21.728290557861328,5.032658100128174,13.532617568969727
2017-01-12,14.49927806854248,,,4.184732437133789,18.614809036254883,12.146370887756348,12.782240867614746,8.959739685058594,22.43138885498047,27.202762603759766,47.04999923706055,,13.523077011108398,12.761058807373047,1.970291256904602,6.699490070343018,18.985836029052734,24.673402786254883,9.123278617858887,7.860129356384277,18.820100784301758,19.09861183166504,16.094327926635742,10.458361625671387,19.64046859741211,2.9649999141693115,9.944648742675781,12.217961311340332,15.082505226135254,10.696651458740234,4.248991012573242,5.730000019073486,,,22.04295539855957,,5.727655410766602,19.84324073791504,10.363687515258789,1.4205151796340942,13.99843978881836,11.20938777923584,1.8437669277191162,18.643550872802734,0.387741357088089,5.104916095733643,9.909957885742188,7.788671016693115,19.5428524017334,41.986419677734375,14.043167114257812,11.989062309265137,0.5040000081062317,15.842348098754883,12.056269645690918,6.889999866485596,27.236278533935547,7.778295040130615,29.807254791259766,4.066235542297363,22.429445266723633,5.204110622406006,14.011263847351074
2017-01-13,14.65343189239502,,,4.177722930908203,17.861040115356445,12.049419403076172,12.716099739074707,9.216594696044922,21.847553253173828,26.545475006103516,45.790000915527344,,13.506340026855469,13.039887428283691,1.9602677822113037,6.713397026062012,19.04473876953125,25.606311798095703,9.16870403289795,7.860129356384277,18.811988830566406,19.332950592041016,16.39689064025879,10.319225311279297,19.042282104492188,2.9700000286102295,10.041057586669922,12.081557273864746,15.10360050201416,10.91392707824707,4.287064075469971,5.659999847412109,,,21.571670532226562,,5.670377731323242,19.438051223754883,10.148494720458984,1.4458816051483154,13.821773529052734,10.982324600219727,1.8466988801956177,18.391817092895508,0.39519745111465454,5.154882431030273,9.943438529968262,7.795401573181152,19.47956657409668,41.986419677734375,13.943680763244629,11.823175430297852,0.5382000207901001,15.226956367492676,12.065882682800293,6.75,26.99138069152832,7.898838043212891,29.643863677978516,4.075192928314209,23.10822105407715,5.093169689178467,14.359370231628418
